PRKCZ	1	11	2027.635	99.564	14.83
ACOT7	1	13	6295.206	95.743	38.53
KIF1B	1	55	10299.575	116.672	73.48
MTOR	1	61	11166.139	152.07	88.9
DNAJC16	1	14	15757.936	49.092	130.99
FBXO42	1	9	16482.49	63.991	135.16
EYA3	1	11	28210.603	73.598	249.4
PHACTR4	1	11	28651.12	89.079	250.6
KPNA6	1	8	32377.642	62.841	287.96
SZT2	1	41	43659.23	62.307	390.73
TESK2	1	9	45621.663	76.423	399.79
IPP	1	9	45958.811	51.929	400.75
ZYG11B	1	12	53035.069	49.911	430.73
USP24	1	44	55360.363	100.601	447.25
OMA1	1	6	58744.843	65.448	473.51
ITGB3BP	1	7	63723.313	76.358	579.21
LRRIQ3	1	14	74343.177	155.639	667.92
ZNHIT6	1	9	85919.508	54.045	747.1
PTBP2	1	8	97006.535	89.713	827.73
AMY2A	1	11	104012.622	99.044	862.24
FAM102B	1	9	108942.027	74.595	885.58
ST7L	1	12	112916.106	92.013	942.72
RPRD2	1	17	148658.178	108.53	1232.86
ASH1L	1	13	153668.16	179.755	1265.01
ARHGEF11	1	32	155197.604	50.155	1282.87
COPA	1	22	158551.573	49.431	1321.09
ATF6	1	27	160098.805	192.292	1337.91
DCAF6	1	23	166244.771	113.914	1401.46
NME7	1	16	167504.338	198.813	1417.2
CFH	1	23	194945.073	72.755	1587.77
KIF14	1	38	198820.003	62.19	1606.93
TMEM206	1	8	210629.954	49.75	1832.29
IARS2	1	13	218361.854	51.584	1942.34
SPAST	2	13	32199.685	66.963	272.23
PRKD3	2	21	37365.539	63.573	307.84
VRK2	2	11	58184.837	111.334	468.72
SFXN5	2	10	73082.429	113.661	603.97
C2orf65	2	6	74675.32	68.622	610.29
MRPS9	2	16	105051.923	61.55	1444.44
RANBP2	2	37	108734.671	64.443	1461.03
CCDC138	2	8	108813.834	85.487	1461.03
CLASP1	2	27	121908.871	188.082	1522.96
R3HDM1	2	11	136136.431	119.115	1979.69
LCT	2	30	136286.665	48.702	1979.75
DARS	2	6	136421.41	71.921	1979.75
PRPF40A	2	18	153252.584	59.509	2081.47
GALNT5	2	11	157848.511	50.272	2097.62
IFIH1	2	11	162857.435	50.277	2137.56
SLC25A12	2	14	172391.925	83.244	2225.23
FAM171B	2	9	187301.508	68.607	2297.47
CALCRL	2	11	187961.885	85.057	2300.13
ANKAR	2	8	190293.723	51.42	2311.64
PMS1	2	7	190404.976	72.097	2311.64
HIBCH	2	16	190835.351	114.835	2312.1
ADAM23	2	13	207110.891	113.641	2414.57
MREG	2	6	216542.958	53.121	2493.79
GIGYF2	2	26	233368.982	121.669	2636.15
USP40	2	22	234092.58	83.646	2647.66
FANCD2	3	78	10081.808	72.477	91.36
UBP1	3	12	33431.617	49.574	324.54
C3orf23	3	8	44399.427	49.509	404.12
LIMD1	3	17	45652.473	82.267	418.69
CCDC12	3	10	46965.862	54.712	429.01
SETD2	3	13	47088.775	108.896	429.08
IP6K1	3	7	49764.33	47.686	434.58
RAD54L2	3	9	51636.082	72.903	446.09
NEK4	3	18	52749.203	56.478	449.82
PXK	3	30	58358.029	55.518	500.27
SUCLG2	3	6	67702.046	81.385	594.74
CD200R1	3	17	114150.861	51.205	850.12
SEC22A	3	7	124449.068	48.041	910.24
IFT122	3	26	130685.19	63.517	963.52
RYK	3	11	135391.998	64.391	995.06
RASA2	3	9	142771.406	80.403	1035.47
PLOD2	3	30	147297.851	53.387	1071.71
