Y	14821472	14972764	USP9Y	4/46	9043	-96.511	0.000261178	99.931020113	0.000000000
Y	14813159	14968569	USP9Y	3/46	8222	-92.936	0.000319217	99.922836550	0.000029020
Y	14838699	14972764	USP9Y	8/46	8501	-89.493	0.000406276	99.912737686	0.000058039
Y	14851537	14972764	USP9Y	13/46	7730	-79.917	0.000464316	99.879161864	0.000087059
Y	14872481	14972764	USP9Y	16/46	7289	-75.981	0.000522355	99.859660609	0.000116079
21	47754665	47865682	PCNT	4/47	9876	-75.486	0.000551375	99.995327824	99.997707442
2	73659406	73837046	ALMS1	8/23	11409	-71.985	0.000580395	99.997330185	99.999013329
2	73635871	73799827	ALMS1	3/23	10389	-71.182	0.000638434	99.996778810	99.998752152
Y	14891577	14972764	USP9Y	23/46	5968	-58.858	0.000870592	99.724980063	0.000232158
21	47787030	47865682	PCNT	16/47	7345	-55.489	0.001131769	99.985316019	99.993238404
21	47777091	47851804	PCNT	14/47	6313	-53.523	0.001218828	99.979512074	99.990800747
Y	14905095	14972764	USP9Y	29/46	5167	-48.215	0.001334907	99.568244527	0.000261178
Y	14898710	14968411	USP9Y	25/46	3693	-48.215	0.001363927	99.565980989	0.000319217
21	47811275	47865311	PCNT	22/47	5909	-47.934	0.001421967	99.975855589	99.988653287
16	70852458	71054153	HYDIN	81/86	11254	-46.306	0.001538045	99.985635236	99.981688553
16	70874110	71054169	HYDIN	75/86	9717	-42.578	0.002060400	99.980353646	99.976871279
22	38097485	38171748	TRIOBP	4/24	8968	-42.278	0.002176479	99.981137179	99.985867394
Y	14869237	14928155	USP9Y	15/46	3188	-39.957	0.002582756	99.366876653	0.000348237
Y	14924940	14971385	USP9Y	32/46	3166	-39.938	0.002611775	99.370155882	0.000406276
1	207669711	207812754	CR1	2/47	7418	-39.911	0.002640795	99.948896264	99.972257143
10	27295879	27389421	ANKRD26	32/34	5164	-39.780	0.002698834	99.964102600	99.983313658
16	70917948	71264592	HYDIN	53/86	10063	-39.142	0.002960012	99.977828930	99.971328511
22	38111899	38170554	TRIOBP	7/24	7298	-38.864	0.003018051	99.976203825	99.981282277
21	47801745	47845869	PCNT	17/47	4020	-36.911	0.003569426	99.919209085	99.961635923
16	70934973	71264592	HYDIN	46/86	9185	-36.810	0.003627466	99.970370860	99.961345726
Y	14834080	14898246	USP9Y	6/46	2995	-36.612	0.003656485	99.255440908	0.000290197
8	48719885	48872743	PRKDC	69/87	9683	-36.527	0.003714525	99.992948207	99.986476808
1	207684987	207812754	CR1	5/47	7039	-36.454	0.003743545	99.933806007	99.962825732
