5	140712660	140874373	PCDHGA1	2/4	161714	-136.749	0.000000000	99.999970980	99.999970980
5	140720960	140874373	PCDHGA2	2/4	153414	-128.491	0.000029020	99.999941961	99.999941961
5	140726007	140874373	PCDHGA3	2/4	148367	-120.592	0.000058039	99.999912941	99.999912941
7	100663494	100685690	MUC17	2/13	10918	-116.324	0.000087059	99.997301166	99.999390586
7	48211147	48687091	ABCA13	2/62	17155	-111.578	0.000116079	99.999158428	99.999274507
7	48237956	48687091	ABCA13	4/62	16934	-111.119	0.000145099	99.999100389	99.999245487
5	140732235	140874373	PCDHGB1	2/4	142139	-110.409	0.000174118	99.999883921	99.999883921
5	140737173	140874373	PCDHGA4	2/4	137201	-105.493	0.000203138	99.999854901	99.999854901
7	48288945	48687091	ABCA13	16/62	15206	-96.744	0.000232158	99.998374895	99.998897250
Y	14821472	14972764	USP9Y	4/46	9043	-96.511	0.000261178	99.931020113	0.000000000
5	140742118	140874373	PCDHGB2	2/4	132256	-95.825	0.000290197	99.999825882	99.999825882
Y	14813159	14968569	USP9Y	3/46	8222	-92.936	0.000319217	99.922836550	0.000029020
1	228412434	228550318	OBSCN	11/116	18452	-92.100	0.000348237	99.999361566	99.999303527
17	78247146	78360155	RNF213	4/68	14501	-90.215	0.000377256	99.998200777	99.999216467
Y	14838699	14972764	USP9Y	8/46	8501	-89.493	0.000406276	99.912737686	0.000058039
5	140746316	140874373	PCDHGA5	2/4	128058	-89.330	0.000435296	99.999796862	99.999796862
Y	14851537	14972764	USP9Y	13/46	7730	-79.917	0.000464316	99.879161864	0.000087059
5	140752353	140874373	PCDHGB3	2/4	122021	-76.408	0.000493335	99.999767842	99.999767842
Y	14872481	14972764	USP9Y	16/46	7289	-75.981	0.000522355	99.859660609	0.000116079
21	47754665	47865682	PCNT	4/47	9876	-75.486	0.000551375	99.995327824	99.997707442
2	73659406	73837046	ALMS1	8/23	11409	-71.985	0.000580395	99.997330185	99.999013329
5	5423047	5490347	KIAA0947	2/19	7705	-71.477	0.000609414	99.982007770	99.992570950
2	73635871	73799827	ALMS1	3/23	10389	-71.182	0.000638434	99.996778810	99.998752152
5	5447983	5489894	KIAA0947	11/19	6685	-69.053	0.000667454	99.980905021	99.993151345
7	48259099	48318972	ABCA13	6/62	7760	-67.270	0.000696473	99.989088583	99.994079976
5	140756072	140874373	PCDHGA6	2/4	118302	-67.125	0.000725493	99.999738822	99.999738822
7	100336229	100395418	ZAN	7/46	7509	-63.991	0.000754513	99.986708966	99.994108996
19	9038406	9056371	MUC16	6/84	5043	-60.158	0.000783533	99.964247698	99.988914465
5	78985868	79096045	CMYA5	2/13	12691	-59.146	0.000812552	99.998113718	99.998984310
5	140764884	140874373	PCDHGA7	2/4	109490	-58.950	0.000841572	99.999709803	99.999709803
Y	14891577	14972764	USP9Y	23/46	5968	-58.858	0.000870592	99.724980063	0.000232158
19	9028386	9050081	MUC16	10/84	4863	-58.590	0.000899611	99.958733951	99.986331709
2	207146617	207179148	ZDBF2	4/5	9855	-57.667	0.000928631	99.987492498	99.994428213
10	123748708	124014057	TACC2	2/23	9696	-57.318	0.000957651	99.995385864	99.997968619
10	123781524	124014057	TACC2	3/23	9327	-57.119	0.000986671	99.995182726	99.997794501
2	207162093	207176783	ZDBF2	5/5	7349	-57.041	0.001015690	99.986621907	99.994167035
X	3229638	3242630	MXRA5	6/7	5513	-56.364	0.001044710	99.972576360	99.990162313
19	8987333	9038136	MUC16	67/84	5675	-56.097	0.001073730	99.974897938	99.990481530
10	123810060	124014057	TACC2	4/23	9213	-56.063	0.001102750	99.994950568	99.997591363
21	47787030	47865682	PCNT	16/47	7345	-55.489	0.001131769	99.985316019	99.993238404
17	78237576	78321672	RNF213	3/68	9469	-54.011	0.001160789	99.986360729	99.994457232
2	207139386	207176050	ZDBF2	3/5	7189	-53.695	0.001189809	99.986186611	99.993876838
21	47777091	47851804	PCNT	14/47	6313	-53.523	0.001218828	99.979512074	99.990800747
19	9033731	9049786	MUC16	8/84	4366	-53.504	0.001247848	99.943266437	99.981311297
12	32112352	32146039	KIAA1551	4/6	6234	-49.628	0.001276868	99.971966945	99.990626629
22	26138119	26427007	MYO18B	2/44	8609	-48.580	0.001305888	99.985809354	99.985316019
Y	14905095	14972764	USP9Y	29/46	5167	-48.215	0.001334907	99.568244527	0.000261178
Y	14898710	14968411	USP9Y	25/46	3693	-48.215	0.001363927	99.565980989	0.000319217
5	140769845	140874373	PCDHGB4	2/4	104529	-47.982	0.001392947	99.999680783	99.999680783
21	47811275	47865311	PCNT	22/47	5909	-47.934	0.001421967	99.975855589	99.988653287
19	41307307	41397895	CTC-490E21.12	2/4	90589	-47.717	0.001450986	99.977480693	99.990510550
Y	15363002	15592553	UTY	26/28	4946	-47.299	0.001480006	99.542910307	0.000145099
7	47860760	47970709	PKD1L1	45/57	6191	-46.353	0.001509026	99.982065810	99.992628990
16	70852458	71054153	HYDIN	81/86	11254	-46.306	0.001538045	99.985635236	99.981688553
19	8982320	9020828	MUC16	69/84	4732	-46.236	0.001567065	99.956064136	99.982356007
18	56196435	56296189	ALPK2	5/13	5608	-45.797	0.001596085	99.973243813	99.990307412
17	79373713	79433307	RP11-1055B8.7	3/32	10149	-45.719	0.001625105	99.944659384	99.765317482
17	79386951	79432107	RP11-1055B8.7	6/32	8804	-45.719	0.001654124	99.944659384	99.765317482
17	79395759	79432974	RP11-1055B8.7	8/32	9637	-45.718	0.001683144	99.944659384	99.765317482
4	169282357	169401638	DDX60L	36/38	5191	-45.713	0.001712164	99.949244500	99.965872803
18	56184413	56296189	ALPK2	8/13	5889	-45.685	0.001741184	99.977277555	99.991294082
Y	15372225	15592553	UTY	25/28	4812	-45.550	0.001770203	99.507593301	0.000174118
1	228511304	228566577	OBSCN	68/116	8383	-44.995	0.001799223	99.974781859	99.959082187
4	13571747	13606211	BOD1L1	25/26	6748	-44.913	0.001828243	99.984445427	99.992048595
18	56171371	56296189	ALPK2	10/13	6263	-44.840	0.001857262	99.981282277	99.992396832
Y	15409611	15592553	UTY	22/28	4727	-44.444	0.001886282	99.481591627	0.000203138
18	56149268	56296189	ALPK2	12/13	6526	-43.827	0.001915302	99.983661895	99.993441542
6	151561133	151679692	AKAP12	3/5	8437	-43.590	0.001944322	99.969587328	99.988943485
18	56191282	56247547	ALPK2	6/13	5057	-43.240	0.001973341	99.966859474	99.987927794
X	135383121	135453618	GPR112	4/26	7833	-42.956	0.002002361	99.990974865	99.995879199
X	135390996	135499047	GPR112	5/26	9603	-42.901	0.002031381	99.995705081	99.997649402
16	70874110	71054169	HYDIN	75/86	9717	-42.578	0.002060400	99.980353646	99.976871279
X	135405545	135499047	GPR112	6/26	8983	-42.478	0.002089420	99.994428213	99.996865870
5	5436582	5463006	KIAA0947	4/19	3435	-42.362	0.002118440	99.838360130	99.940103287
